,SKU,Produto,Quantidade Devolvida,Data,Loja,Preço Unitário,Unnamed: 6
3,HL1148,Iphone,3,10/31/2018,Belo Horizonte,5300,
6,HL7348,SmartWatch,1,2/6/2018,Belo Horizonte,1400,
20,HL7348,SmartWatch,3,10/5/2018,Belo Horizonte,1400,
21,HL1918,Android,1,5/26/2018,Belo Horizonte,3400,
23,HL2714,Tablet,1,4/24/2018,Belo Horizonte,1600,
24,HL9654,Televisão,5,12/26/2018,Belo Horizonte,2500,
41,HL7348,SmartWatch,5,11/20/2018,Belo Horizonte,1400,
48,HL2714,Tablet,3,1/27/2018,Belo Horizonte,1600,
54,HL9654,Televisão,1,2/3/2018,Belo Horizonte,2500,
74,HL1918,Android,1,1/21/2018,Belo Horizonte,3400,
106,HL6259,Notebook,4,2/19/2018,Belo Horizonte,3500,
109,HL9654,Televisão,1,12/22/2018,Belo Horizonte,2500,
128,HL2267,Câmera,1,8/15/2018,Belo Horizonte,2100,
164,HL7348,SmartWatch,4,12/22/2018,Belo Horizonte,1400,
173,HL2714,Tablet,4,1/9/2018,Belo Horizonte,1600,
189,HL9654,Televisão,1,12/17/2018,Belo Horizonte,2500,
198,HL1918,Android,1,11/5/2018,Belo Horizonte,3400,
221,HL7348,SmartWatch,1,11/29/2018,Belo Horizonte,1400,
245,HL7348,SmartWatch,3,5/8/2018,Belo Horizonte,1400,
248,HL2714,Tablet,5,10/16/2018,Belo Horizonte,1600,
253,HL2714,Tablet,3,6/12/2018,Belo Horizonte,1600,
260,HL7348,SmartWatch,5,5/26/2018,Belo Horizonte,1400,
282,HL2267,Câmera,5,8/10/2018,Belo Horizonte,2100,
319,HL2267,Câmera,2,1/27/2018,Belo Horizonte,2100,
320,HL1148,Iphone,2,10/23/2018,Belo Horizonte,5300,
326,HL1918,Android,2,11/5/2018,Belo Horizonte,3400,
335,HL7348,SmartWatch,4,11/4/2018,Belo Horizonte,1400,
341,HL6259,Notebook,2,11/10/2018,Belo Horizonte,3500,
352,HL7348,SmartWatch,4,2/12/2018,Belo Horizonte,1400,
362,HL7348,SmartWatch,5,6/23/2018,Belo Horizonte,1400,
369,HL2714,Tablet,1,9/18/2018,Belo Horizonte,1600,
379,HL7348,SmartWatch,2,8/19/2018,Belo Horizonte,1400,
386,HL1918,Android,3,2/22/2018,Belo Horizonte,3400,
446,HL2714,Tablet,2,1/15/2018,Belo Horizonte,1600,
481,HL2714,Tablet,5,11/9/2018,Belo Horizonte,1600,
485,HL7348,SmartWatch,5,12/10/2018,Belo Horizonte,1400,
489,HL1918,Android,2,3/26/2018,Belo Horizonte,3400,
496,HL7348,SmartWatch,4,10/26/2018,Belo Horizonte,1400,
