,SKU,Produto,Quantidade Devolvida,Data,Loja,Preço Unitário,Unnamed: 6
4,HL7348,SmartWatch,5,10/7/2018,Fortaleza,1400,
8,HL2714,Tablet,3,7/26/2018,Fortaleza,1600,
9,HL7348,SmartWatch,2,7/8/2018,Fortaleza,1400,
25,HL7348,SmartWatch,3,9/15/2018,Fortaleza,1400,
34,HL7348,SmartWatch,3,12/16/2018,Fortaleza,1400,
39,HL6259,Notebook,5,3/6/2018,Fortaleza,3500,
43,HL2714,Tablet,5,10/14/2018,Fortaleza,1600,
44,HL2714,Tablet,5,4/17/2018,Fortaleza,1600,
51,HL7348,SmartWatch,4,5/27/2018,Fortaleza,1400,
53,HL2714,Tablet,5,5/10/2018,Fortaleza,1600,
56,HL7348,SmartWatch,2,6/28/2018,Fortaleza,1400,
57,HL2714,Tablet,3,2/20/2018,Fortaleza,1600,
59,HL2714,Tablet,5,4/1/2018,Fortaleza,1600,
60,HL1918,Android,5,10/15/2018,Fortaleza,3400,
65,HL7348,SmartWatch,4,8/6/2018,Fortaleza,1400,
71,HL7348,SmartWatch,5,7/19/2018,Fortaleza,1400,
92,HL2267,Câmera,4,11/5/2018,Fortaleza,2100,
93,HL7348,SmartWatch,5,9/4/2018,Fortaleza,1400,
97,HL2714,Tablet,5,5/26/2018,Fortaleza,1600,
114,HL1918,Android,3,5/3/2018,Fortaleza,3400,
116,HL2714,Tablet,1,3/26/2018,Fortaleza,1600,
118,HL9654,Televisão,5,2/3/2018,Fortaleza,2500,
124,HL1148,Iphone,1,8/18/2018,Fortaleza,5300,
126,HL9654,Televisão,5,6/29/2018,Fortaleza,2500,
127,HL6259,Notebook,4,1/25/2018,Fortaleza,3500,
132,HL7348,SmartWatch,3,12/13/2018,Fortaleza,1400,
144,HL6259,Notebook,4,10/12/2018,Fortaleza,3500,
171,HL1148,Iphone,4,8/18/2018,Fortaleza,5300,
181,HL1918,Android,4,9/6/2018,Fortaleza,3400,
184,HL1148,Iphone,3,6/29/2018,Fortaleza,5300,
186,HL9654,Televisão,5,7/1/2018,Fortaleza,2500,
193,HL6259,Notebook,4,8/1/2018,Fortaleza,3500,
194,HL2714,Tablet,1,5/4/2018,Fortaleza,1600,
197,HL2714,Tablet,5,11/19/2018,Fortaleza,1600,
201,HL2714,Tablet,2,5/11/2018,Fortaleza,1600,
202,HL6259,Notebook,5,2/24/2018,Fortaleza,3500,
208,HL1148,Iphone,1,8/1/2018,Fortaleza,5300,
212,HL2714,Tablet,5,4/27/2018,Fortaleza,1600,
217,HL2714,Tablet,1,1/15/2018,Fortaleza,1600,
219,HL1918,Android,3,4/28/2018,Fortaleza,3400,
223,HL1918,Android,1,8/22/2018,Fortaleza,3400,
224,HL7348,SmartWatch,5,7/5/2018,Fortaleza,1400,
225,HL2714,Tablet,4,10/4/2018,Fortaleza,1600,
247,HL1148,Iphone,1,5/6/2018,Fortaleza,5300,
251,HL2714,Tablet,4,7/21/2018,Fortaleza,1600,
257,HL2714,Tablet,5,9/9/2018,Fortaleza,1600,
286,HL7348,SmartWatch,4,12/11/2018,Fortaleza,1400,
289,HL9654,Televisão,4,10/14/2018,Fortaleza,2500,
290,HL2267,Câmera,2,4/30/2018,Fortaleza,2100,
306,HL1148,Iphone,1,11/7/2018,Fortaleza,5300,
307,HL9654,Televisão,3,2/13/2018,Fortaleza,2500,
321,HL2714,Tablet,2,6/16/2018,Fortaleza,1600,
327,HL1148,Iphone,1,2/6/2018,Fortaleza,5300,
343,HL7348,SmartWatch,5,10/8/2018,Fortaleza,1400,
355,HL6259,Notebook,1,2/14/2018,Fortaleza,3500,
356,HL2714,Tablet,3,9/2/2018,Fortaleza,1600,
357,HL7348,SmartWatch,4,10/20/2018,Fortaleza,1400,
367,HL9654,Televisão,1,2/18/2018,Fortaleza,2500,
376,HL2714,Tablet,2,8/21/2018,Fortaleza,1600,
397,HL7348,SmartWatch,2,1/28/2018,Fortaleza,1400,
404,HL7348,SmartWatch,3,7/25/2018,Fortaleza,1400,
418,HL7348,SmartWatch,1,12/31/2018,Fortaleza,1400,
423,HL7348,SmartWatch,4,12/1/2018,Fortaleza,1400,
425,HL1918,Android,4,7/13/2018,Fortaleza,3400,
436,HL7348,SmartWatch,1,6/18/2018,Fortaleza,1400,
437,HL7348,SmartWatch,4,3/11/2018,Fortaleza,1400,
442,HL1918,Android,4,9/3/2018,Fortaleza,3400,
445,HL2267,Câmera,4,7/30/2018,Fortaleza,2100,
449,HL7348,SmartWatch,2,5/2/2018,Fortaleza,1400,
452,HL6259,Notebook,2,3/31/2018,Fortaleza,3500,
454,HL2714,Tablet,4,6/24/2018,Fortaleza,1600,
459,HL1148,Iphone,4,2/18/2018,Fortaleza,5300,
467,HL1148,Iphone,5,2/27/2018,Fortaleza,5300,
468,HL2714,Tablet,2,11/4/2018,Fortaleza,1600,
476,HL1148,Iphone,4,11/10/2018,Fortaleza,5300,
480,HL1918,Android,2,5/26/2018,Fortaleza,3400,
488,HL6259,Notebook,1,11/24/2018,Fortaleza,3500,
490,HL1918,Android,3,10/4/2018,Fortaleza,3400,
492,HL9654,Televisão,5,9/1/2018,Fortaleza,2500,
495,HL6259,Notebook,5,7/12/2018,Fortaleza,3500,
498,HL7348,SmartWatch,5,8/6/2018,Fortaleza,1400,
