,SKU,Produto,Quantidade Devolvida,Data,Loja,Preço Unitário,Unnamed: 6
13,HL7348,SmartWatch,4,2/20/2018,Goiás,1400,
16,HL1918,Android,1,12/2/2018,Goiás,3400,
32,HL7348,SmartWatch,1,5/16/2018,Goiás,1400,
35,HL1148,Iphone,4,6/14/2018,Goiás,5300,
42,HL1148,Iphone,5,7/11/2018,Goiás,5300,
62,HL1918,Android,4,4/2/2018,Goiás,3400,
75,HL1918,Android,1,6/24/2018,Goiás,3400,
98,HL9654,Televisão,3,2/17/2018,Goiás,2500,
101,HL7348,SmartWatch,3,10/21/2018,Goiás,1400,
104,HL6259,Notebook,3,2/19/2018,Goiás,3500,
115,HL2714,Tablet,2,3/19/2018,Goiás,1600,
122,HL2267,Câmera,1,6/10/2018,Goiás,2100,
146,HL9654,Televisão,5,3/9/2018,Goiás,2500,
153,HL2714,Tablet,2,11/16/2018,Goiás,1600,
165,HL2267,Câmera,1,8/25/2018,Goiás,2100,
169,HL9654,Televisão,5,2/16/2018,Goiás,2500,
187,HL9654,Televisão,4,7/3/2018,Goiás,2500,
222,HL2714,Tablet,3,1/10/2018,Goiás,1600,
255,HL6259,Notebook,5,1/22/2018,Goiás,3500,
293,HL6259,Notebook,5,3/3/2018,Goiás,3500,
304,HL9654,Televisão,1,1/13/2018,Goiás,2500,
316,HL6259,Notebook,1,6/3/2018,Goiás,3500,
328,HL7348,SmartWatch,5,4/24/2018,Goiás,1400,
350,HL9654,Televisão,4,5/11/2018,Goiás,2500,
370,HL1148,Iphone,4,7/14/2018,Goiás,5300,
381,HL1918,Android,2,3/14/2018,Goiás,3400,
390,HL2267,Câmera,4,1/12/2018,Goiás,2100,
393,HL7348,SmartWatch,1,11/27/2018,Goiás,1400,
413,HL2714,Tablet,5,4/20/2018,Goiás,1600,
414,HL7348,SmartWatch,3,1/4/2018,Goiás,1400,
426,HL2267,Câmera,2,10/1/2018,Goiás,2100,
461,HL7348,SmartWatch,2,4/9/2018,Goiás,1400,
462,HL9654,Televisão,3,1/12/2018,Goiás,2500,
469,HL2714,Tablet,5,2/22/2018,Goiás,1600,
