,SKU,Produto,Quantidade Devolvida,Data,Loja,Preço Unitário,Unnamed: 6
33,HL2714,Tablet,5,4/24/2018,Salvador,1600,
38,HL2714,Tablet,5,1/17/2018,Salvador,1600,
52,HL1918,Android,1,12/23/2018,Salvador,3400,
72,HL7348,SmartWatch,5,10/27/2018,Salvador,1400,
79,HL7348,SmartWatch,5,1/8/2018,Salvador,1400,
84,HL1918,Android,4,8/26/2018,Salvador,3400,
85,HL7348,SmartWatch,4,4/16/2018,Salvador,1400,
96,HL2267,Câmera,3,7/28/2018,Salvador,2100,
99,HL2714,Tablet,4,7/24/2018,Salvador,1600,
112,HL7348,SmartWatch,4,5/1/2018,Salvador,1400,
119,HL7348,SmartWatch,4,9/2/2018,Salvador,1400,
121,HL9654,Televisão,3,6/13/2018,Salvador,2500,
133,HL1918,Android,3,1/11/2018,Salvador,3400,
135,HL2267,Câmera,3,8/1/2018,Salvador,2100,
137,HL2714,Tablet,3,5/14/2018,Salvador,1600,
140,HL1148,Iphone,1,8/21/2018,Salvador,5300,
141,HL7348,SmartWatch,5,4/22/2018,Salvador,1400,
143,HL2714,Tablet,1,12/23/2018,Salvador,1600,
155,HL9654,Televisão,3,12/6/2018,Salvador,2500,
159,HL2267,Câmera,4,6/28/2018,Salvador,2100,
163,HL2267,Câmera,2,11/3/2018,Salvador,2100,
168,HL2714,Tablet,4,8/28/2018,Salvador,1600,
176,HL1918,Android,3,12/24/2018,Salvador,3400,
191,HL1148,Iphone,1,10/4/2018,Salvador,5300,
203,HL6259,Notebook,1,8/23/2018,Salvador,3500,
211,HL1148,Iphone,2,12/16/2018,Salvador,5300,
214,HL9654,Televisão,4,5/7/2018,Salvador,2500,
215,HL7348,SmartWatch,2,8/10/2018,Salvador,1400,
227,HL7348,SmartWatch,4,10/15/2018,Salvador,1400,
231,HL1918,Android,1,7/26/2018,Salvador,3400,
237,HL7348,SmartWatch,2,2/12/2018,Salvador,1400,
249,HL7348,SmartWatch,5,2/21/2018,Salvador,1400,
252,HL1918,Android,2,5/25/2018,Salvador,3400,
261,HL1148,Iphone,5,8/27/2018,Salvador,5300,
270,HL1918,Android,2,4/8/2018,Salvador,3400,
274,HL7348,SmartWatch,4,9/18/2018,Salvador,1400,
275,HL2714,Tablet,1,3/25/2018,Salvador,1600,
314,HL6259,Notebook,2,1/18/2018,Salvador,3500,
315,HL2267,Câmera,4,3/10/2018,Salvador,2100,
323,HL2714,Tablet,2,1/21/2018,Salvador,1600,
331,HL9654,Televisão,4,12/7/2018,Salvador,2500,
336,HL7348,SmartWatch,2,7/6/2018,Salvador,1400,
342,HL2267,Câmera,2,11/10/2018,Salvador,2100,
359,HL9654,Televisão,1,3/17/2018,Salvador,2500,
366,HL1918,Android,5,7/25/2018,Salvador,3400,
371,HL2267,Câmera,3,11/28/2018,Salvador,2100,
374,HL7348,SmartWatch,5,9/30/2018,Salvador,1400,
375,HL1148,Iphone,3,8/15/2018,Salvador,5300,
380,HL1148,Iphone,1,1/20/2018,Salvador,5300,
384,HL7348,SmartWatch,2,10/27/2018,Salvador,1400,
392,HL6259,Notebook,4,10/9/2018,Salvador,3500,
401,HL2714,Tablet,3,9/21/2018,Salvador,1600,
407,HL6259,Notebook,5,12/10/2018,Salvador,3500,
410,HL7348,SmartWatch,1,8/12/2018,Salvador,1400,
416,HL2714,Tablet,1,6/29/2018,Salvador,1600,
430,HL2714,Tablet,4,11/24/2018,Salvador,1600,
435,HL1148,Iphone,4,10/19/2018,Salvador,5300,
438,HL6259,Notebook,4,10/5/2018,Salvador,3500,
448,HL2714,Tablet,5,8/17/2018,Salvador,1600,
465,HL7348,SmartWatch,4,10/8/2018,Salvador,1400,
466,HL7348,SmartWatch,4,6/24/2018,Salvador,1400,
471,HL2267,Câmera,3,7/17/2018,Salvador,2100,
491,HL2267,Câmera,2,5/29/2018,Salvador,2100,
497,HL1148,Iphone,4,7/18/2018,Salvador,5300,
