,SKU,Produto,Quantidade Devolvida,Data,Loja,Preço Unitário,Unnamed: 6
0,HL7348,SmartWatch,5,12/14/2018,São Paulo,1400,
10,HL7348,SmartWatch,1,8/3/2018,São Paulo,1400,
12,HL6259,Notebook,3,3/16/2018,São Paulo,3500,
14,HL7348,SmartWatch,2,5/12/2018,São Paulo,1400,
18,HL2714,Tablet,3,4/7/2018,São Paulo,1600,
28,HL7348,SmartWatch,2,6/1/2018,São Paulo,1400,
30,HL1148,Iphone,3,8/24/2018,São Paulo,5300,
36,HL6259,Notebook,3,12/23/2018,São Paulo,3500,
50,HL1148,Iphone,1,5/4/2018,São Paulo,5300,
55,HL1148,Iphone,4,7/7/2018,São Paulo,5300,
58,HL2714,Tablet,2,11/16/2018,São Paulo,1600,
66,HL1148,Iphone,3,1/8/2018,São Paulo,5300,
70,HL1148,Iphone,1,9/30/2018,São Paulo,5300,
87,HL1148,Iphone,5,5/14/2018,São Paulo,5300,
91,HL2267,Câmera,4,2/27/2018,São Paulo,2100,
94,HL7348,SmartWatch,3,10/19/2018,São Paulo,1400,
95,HL1918,Android,3,8/19/2018,São Paulo,3400,
100,HL2267,Câmera,1,1/29/2018,São Paulo,2100,
102,HL2714,Tablet,5,8/24/2018,São Paulo,1600,
103,HL9654,Televisão,3,12/26/2018,São Paulo,2500,
105,HL7348,SmartWatch,1,12/24/2018,São Paulo,1400,
117,HL1148,Iphone,4,5/23/2018,São Paulo,5300,
123,HL7348,SmartWatch,5,9/22/2018,São Paulo,1400,
125,HL2714,Tablet,1,5/1/2018,São Paulo,1600,
131,HL7348,SmartWatch,2,5/21/2018,São Paulo,1400,
134,HL2267,Câmera,1,3/4/2018,São Paulo,2100,
149,HL7348,SmartWatch,1,7/22/2018,São Paulo,1400,
152,HL7348,SmartWatch,4,10/9/2018,São Paulo,1400,
156,HL1918,Android,4,12/31/2018,São Paulo,3400,
158,HL7348,SmartWatch,2,5/1/2018,São Paulo,1400,
177,HL6259,Notebook,4,5/10/2018,São Paulo,3500,
180,HL7348,SmartWatch,2,9/2/2018,São Paulo,1400,
188,HL9654,Televisão,1,12/7/2018,São Paulo,2500,
190,HL2267,Câmera,4,1/30/2018,São Paulo,2100,
195,HL2267,Câmera,5,8/19/2018,São Paulo,2100,
204,HL2267,Câmera,3,9/24/2018,São Paulo,2100,
207,HL9654,Televisão,2,12/11/2018,São Paulo,2500,
218,HL1918,Android,4,7/8/2018,São Paulo,3400,
232,HL2714,Tablet,2,1/14/2018,São Paulo,1600,
240,HL2714,Tablet,4,6/2/2018,São Paulo,1600,
241,HL1918,Android,2,6/10/2018,São Paulo,3400,
242,HL9654,Televisão,4,1/22/2018,São Paulo,2500,
244,HL7348,SmartWatch,3,12/28/2018,São Paulo,1400,
264,HL9654,Televisão,1,5/22/2018,São Paulo,2500,
267,HL7348,SmartWatch,3,8/24/2018,São Paulo,1400,
277,HL2714,Tablet,5,8/15/2018,São Paulo,1600,
278,HL2714,Tablet,1,11/4/2018,São Paulo,1600,
283,HL7348,SmartWatch,3,4/20/2018,São Paulo,1400,
284,HL7348,SmartWatch,2,7/19/2018,São Paulo,1400,
